SAMPLE_ID, SAMPLE_NAME, GENE_NAME, REGULATION, Z_SCORE, ID_STUDY
1779921,TCGA-BP-4986-01,KRAS,normal,       0.790,416
2380419,TCGA-XV-AAZV-01,KRAS,normal,       0.764,540
1779231,TCGA-BT-A20J-01,KRAS,normal,       1.503,413
1650944,TCGA-A6-5661-01,KRAS,normal,       1.616,376
2193241,TCGA-FD-A3SQ-01,KRAS,normal,      -1.752,413
2263047,TCGA-QS-A5YR-01,KRAS,normal,      -1.545,419
1337888,TCGA-06-2570-01,KRAS,normal,       1.158,329
1780086,TCGA-35-4122-01,KRAS,normal,       0.085,417
2198172,TCGA-ET-A40P-01,KRAS,normal,      -0.747,542
2121697,TCGA-EE-A3AF-06,KRAS,normal,      -0.698,540
1914081,TCGA-86-7701-01,KRAS,normal,       0.844,417
2187800,TCGA-B6-A408-01,KRAS,normal,      -0.821,414
1781549,TCGA-39-5029-01,KRAS,normal,      -0.974,418
2193902,TCGA-BP-4332-01,KRAS,normal,       0.413,416
2270062,TCGA-SI-AA8B-01,KRAS,normal,       0.992,635
1650340,TCGA-AB-2848-03,KRAS,normal,       0.716,377
1915862,TCGA-EJ-7330-01,KRAS,normal,       0.217,435
2121845,TCGA-CE-A13K-01,KRAS,normal,       0.718,542
1899891,TCGA-BH-A0BA-01,KRAS,normal,       1.284,414
2380422,TCGA-BF-AAP1-01,KRAS,normal,      -0.804,540
1650298,TCGA-AB-2806-03,KRAS,normal,       1.423,377
2197994,TCGA-BR-A4J9-01,KRAS,normal,      -0.438,541
1899691,TCGA-A8-A082-01,KRAS,normal,       0.345,414
1474967,TCGA-24-1413-01,KRAS,normal,      -0.011,331
2269716,TCGA-N5-A4RT-01,KRAS,over,       5.597,636
1914105,TCGA-97-7546-01,KRAS,normal,       0.153,417
2121763,TCGA-FS-A1ZM-06,KRAS,over,       4.724,540
1898135,TCGA-GV-A3JV-01,KRAS,normal,      -0.744,413
2121806,TCGA-BJ-A0YZ-01,KRAS,normal,       0.659,542
2457466,TCGA-37-A5EN-01,KRAS,normal,       1.442,418
2193257,TCGA-FD-A3SR-01,KRAS,normal,      -0.867,413
2121541,TCGA-D3-A51F-06,KRAS,normal,       0.771,540
2193806,TCGA-F7-A50G-01,KRAS,over,      33.162,627
2194202,TCGA-DU-A5TY-01,KRAS,over,       3.606,545
1783015,TCGA-66-2795-01,KRAS,normal,      -0.143,418
1650358,TCGA-AB-2866-03,KRAS,normal,      -0.215,377
1474982,TCGA-24-1557-01,KRAS,normal,       1.510,331
2385729,TCGA-4Z-AA82-01,KRAS,normal,       0.022,413
2380410,TCGA-XV-A9VZ-01,KRAS,normal,       0.532,540
2386005,TCGA-V1-A9OA-01,KRAS,normal,       1.537,435
2262842,TCGA-J4-A67R-01,KRAS,normal,      -1.623,435
2386041,TCGA-ZG-A9N3-01,KRAS,normal,      -0.377,435
2193771,TCGA-BB-7872-01,KRAS,normal,       1.327,627
2270177,TCGA-MB-A8JL-01,KRAS,normal,       1.013,635
2187701,TCGA-OL-A5RU-01,KRAS,normal,      -1.287,414
1779964,TCGA-BP-5200-01,KRAS,normal,       0.887,416
2198160,TCGA-DJ-A3UV-01,KRAS,normal,       0.607,542
2195117,TCGA-22-1005-01,KRAS,normal,      -1.096,418
2340521,TCGA-S3-AA10-01,KRAS,normal,      -0.166,414
2270010,TCGA-K1-A6RT-01,KRAS,normal,      -0.050,635
2187722,TCGA-GM-A4E0-01,KRAS,normal,      -0.777,414
2269717,TCGA-N5-A59F-01,KRAS,normal,       0.027,636
1779936,TCGA-BP-5008-01,KRAS,normal,       0.673,416
2339717,TCGA-KK-A6E1-01,KRAS,normal,      -0.342,435
2269732,TCGA-OU-A5PI-01,KRAS,normal,       1.089,631
1779248,TCGA-CU-A0YO-01,KRAS,normal,       1.073,413
2339548,TCGA-AC-A6NO-01,KRAS,normal,      -0.953,414
2122002,TCGA-EL-A3T9-01,KRAS,over,       2.049,542
1779894,TCGA-B8-5546-01,KRAS,normal,      -0.290,416
2339452,TCGA-VP-A87H-01,KRAS,normal,       0.331,435
2386032,TCGA-ZG-A9LB-01,KRAS,normal,       0.828,435
2194358,TCGA-HT-7692-01,KRAS,normal,       0.083,545
2195035,TCGA-43-A475-01,KRAS,normal,       1.219,418
1780488,TCGA-18-5595-01,KRAS,normal,      -0.643,418
2194782,TCGA-MP-A4T4-01,KRAS,normal,      -0.309,417
2121459,TCGA-FC-7961-01,KRAS,normal,       0.104,435
2193788,TCGA-BA-5558-01,KRAS,normal,      -0.457,627
2121500,TCGA-D3-A1Q4-06,KRAS,normal,       0.613,540
1899907,TCGA-BH-A0C3-01,KRAS,normal,       0.631,414
2269980,TCGA-X6-A8C4-01,KRAS,normal,       0.258,635
2339827,TCGA-CN-A6V1-01,KRAS,normal,      -1.042,627
1899700,TCGA-A8-A08G-01,KRAS,normal,       0.606,414
2339658,TCGA-95-8039-01,KRAS,normal,      -0.695,417
1650365,TCGA-AB-2873-03,KRAS,normal,      -0.349,377
2195130,TCGA-77-7337-01,KRAS,normal,       1.672,418
2263092,TCGA-TM-A84H-01,KRAS,normal,      -1.027,545
1651567,TCGA-AG-3896-01,KRAS,normal,      -0.064,375
1783367,TCGA-AX-A062-01,KRAS,normal,       1.520,419
2262752,TCGA-QK-A6IF-01,KRAS,normal,      -0.547,627
1797185,TCGA-EJ-5496-01,KRAS,normal,       0.637,435
1651182,TCGA-CA-5255-01,KRAS,over,       2.045,376
2457443,TCGA-TQ-A7RR-01,KRAS,normal,      -0.416,545
1900064,TCGA-D8-A1JU-01,KRAS,normal,      -0.192,414
2193796,TCGA-BB-4227-01,KRAS,normal,       0.859,627
2262794,TCGA-TM-A7CA-01,KRAS,normal,      -0.031,545
2194558,TCGA-DD-A3A9-01,KRAS,normal,      -1.106,628
2193246,TCGA-FJ-A3ZE-01,KRAS,normal,       0.538,413
2187753,TCGA-E9-A5UP-01,KRAS,normal,      -0.830,414
2193255,TCGA-GU-A42Q-01,KRAS,normal,       1.307,413
2269745,TCGA-DX-A1KW-01,KRAS,normal,      -0.146,635
2198326,TCGA-AP-A1DR-01,KRAS,over,       3.584,419
2193639,TCGA-P3-A5Q6-01,KRAS,normal,       0.292,627
1900063,TCGA-D8-A1JT-01,KRAS,over,       7.737,414
2197852,TCGA-HU-A4H3-01,KRAS,normal,       0.682,541
2270016,TCGA-KM-8438-01,KRAS,normal,      -0.464,634
2120359,TCGA-32-4213-01,KRAS,normal,      -0.323,329
2195232,TCGA-96-7544-01,KRAS,over,       2.861,418
2198122,TCGA-BR-8678-01,KRAS,over,       7.913,541
2197603,TCGA-J4-A67O-01,KRAS,normal,      -1.804,435
1900100,TCGA-D8-A27R-01,KRAS,normal,       0.293,414
2457400,TCGA-KQ-A41O-01,KRAS,normal,      -0.651,413
1914045,TCGA-73-7498-01,KRAS,normal,      -0.105,417
1731353,TCGA-61-1914-01,KRAS,normal,      -0.325,331
1781514,TCGA-39-5021-01,KRAS,over,      11.617,418
2197971,TCGA-FP-8210-01,KRAS,normal,      -0.681,541
2385872,TCGA-56-8304-01,KRAS,normal,       1.510,418
1913331,TCGA-A3-3374-01,KRAS,normal,      -0.914,416
1650318,TCGA-AB-2826-03,KRAS,normal,       0.529,377
1780214,TCGA-73-4662-01,KRAS,normal,       0.785,417
1780667,TCGA-21-5784-01,KRAS,normal,      -1.815,418
1913475,TCGA-BP-4965-01,KRAS,normal,       0.834,416
1779556,TCGA-B6-A0WX-01,KRAS,normal,      -0.376,414
2339526,TCGA-XF-A8HC-01,KRAS,normal,      -1.024,413
2262816,TCGA-77-A5G7-01,KRAS,normal,       0.490,418
2193724,TCGA-BA-A4IF-01,KRAS,normal,       1.417,627
2262724,TCGA-C5-A901-01,KRAS,over,       7.289,415
2385793,TCGA-XF-AAMZ-01,KRAS,normal,      -0.497,413
2263009,TCGA-HC-8266-01,KRAS,normal,       0.075,435
1899619,TCGA-A2-A0EO-01,KRAS,normal,       0.029,414
2339951,TCGA-XK-AAJP-01,KRAS,normal,      -0.807,435
2195185,TCGA-85-8287-01,KRAS,normal,       0.779,418
2193234,TCGA-K4-A54R-01,KRAS,normal,       1.268,413
2122089,TCGA-EM-A4FO-01,KRAS,normal,       0.336,542
2121756,TCGA-FS-A1ZD-06,KRAS,normal,       0.207,540
1780005,TCGA-CW-5581-01,KRAS,normal,      -0.146,416
2194398,TCGA-DB-A64O-01,KRAS,normal,      -0.604,545
1900218,TCGA-E9-A22B-01,KRAS,normal,      -0.058,414
2196461,TCGA-29-2414-01,KRAS,normal,       0.522,331
2120361,TCGA-32-5222-01,KRAS,over,       2.868,329
2262826,TCGA-US-A776-01,KRAS,normal,      -1.142,629
2195021,TCGA-68-7755-01,KRAS,normal,       0.698,418
2198010,TCGA-BR-6454-01,KRAS,normal,       0.388,541
2194831,TCGA-55-8206-01,KRAS,normal,      -0.647,417
2196501,TCGA-IB-7885-01,KRAS,normal,       0.624,629
2195044,TCGA-43-8115-01,KRAS,normal,       0.163,418
1651521,TCGA-AF-5654-01,KRAS,normal,       0.780,375
2194161,TCGA-DU-5870-01,KRAS,normal,       0.205,545
2457435,TCGA-TQ-A7RF-01,KRAS,normal,      -0.528,545
2339973,TCGA-QF-A5YS-01,KRAS,normal,      -1.743,419
1474870,TCGA-09-2056-01,KRAS,over,      16.805,331
2339838,TCGA-P5-A5F4-01,KRAS,normal,       0.042,545
1651243,TCGA-D5-5538-01,KRAS,normal,       1.711,376
1337808,TCGA-02-2483-01,KRAS,normal,       0.389,329
2193514,TCGA-CV-7242-01,KRAS,normal,       0.081,627
1900029,TCGA-C8-A26W-01,KRAS,normal,       0.591,414
1899879,TCGA-BH-A0AV-01,KRAS,normal,       0.603,414
2339459,TCGA-VP-A878-01,KRAS,normal,      -0.599,435
1898126,TCGA-G2-A2ES-01,KRAS,normal,       0.485,413
1783312,TCGA-A5-A0GJ-01,KRAS,normal,      -1.722,419
2270025,TCGA-LN-A49P-01,KRAS,normal,       1.066,633
2270202,TCGA-SG-A6Z7-01,KRAS,normal,      -0.083,635
2122104,TCGA-ET-A2N4-01,KRAS,normal,       1.164,542
2197861,TCGA-BR-4363-01,KRAS,normal,      -0.569,541
2120473,TCGA-BP-4756-01,KRAS,normal,      -1.031,416
1650311,TCGA-AB-2819-03,KRAS,normal,       0.188,377
2194793,TCGA-44-A47G-01,KRAS,normal,       0.107,417
1900043,TCGA-D8-A143-01,KRAS,normal,       0.893,414
1779865,TCGA-B0-5709-01,KRAS,normal,       0.153,416
2197873,TCGA-BR-6566-01,KRAS,normal,       0.034,541
1780072,TCGA-05-4426-01,KRAS,normal,      -1.320,417
1475114,TCGA-36-1571-01,KRAS,over,      11.996,331
2262900,TCGA-GC-A6I1-01,KRAS,normal,      -1.220,413
1474869,TCGA-24-1563-01,KRAS,normal,       1.091,331
1651310,TCGA-F4-6809-01,KRAS,normal,       0.110,376
2198332,TCGA-AJ-A3NF-01,KRAS,normal,       0.206,419
2339249,TCGA-4T-AA8H-01,KRAS,normal,       1.361,376
2194553,TCGA-DD-A4NS-01,KRAS,normal,       0.289,628
2198163,TCGA-E8-A438-01,KRAS,normal,      -0.880,542
2385838,TCGA-ZF-AA53-01,KRAS,normal,      -0.676,413
2194308,TCGA-DB-5273-01,KRAS,over,       2.608,545
2194168,TCGA-HT-A616-01,KRAS,normal,       0.584,545
2270159,TCGA-KL-8342-01,KRAS,normal,      -0.768,634
